ns,friendly,raw
account.AccountMethods,takeout,invokeWithTakeout account.initTakeoutSession account.finishTakeoutSession
auth.AuthMethods,sign_in,auth.signIn auth.importBotAuthorization
auth.AuthMethods,send_code_request,auth.sendCode auth.resendCode
auth.AuthMethods,log_out,auth.logOut
auth.AuthMethods,edit_2fa,account.updatePasswordSettings
bots.BotMethods,inline_query,messages.getInlineBotResults
chats.ChatMethods,action,messages.setTyping
chats.ChatMethods,edit_admin,channels.editAdmin messages.editChatAdmin
chats.ChatMethods,edit_permissions,channels.editBanned messages.editChatDefaultBannedRights
chats.ChatMethods,iter_participants,channels.getParticipants
chats.ChatMethods,iter_admin_log,channels.getAdminLog
dialogs.DialogMethods,iter_dialogs,messages.getDialogs
dialogs.DialogMethods,iter_drafts,messages.getAllDrafts
dialogs.DialogMethods,edit_folder,folders.deleteFolder folders.editPeerFolders
downloads.DownloadMethods,download_media,upload.getFile
messages.MessageMethods,iter_messages,messages.searchGlobal messages.search messages.getHistory channels.getMessages messages.getMessages
messages.MessageMethods,send_message,messages.sendMessage
messages.MessageMethods,forward_messages,messages.forwardMessages
messages.MessageMethods,edit_message,messages.editInlineBotMessage messages.editMessage
messages.MessageMethods,delete_messages,channels.deleteMessages messages.deleteMessages
messages.MessageMethods,send_read_acknowledge,messages.readMentions channels.readHistory messages.readHistory
updates.UpdateMethods,catch_up,updates.getDifference updates.getChannelDifference
uploads.UploadMethods,send_file,messages.sendMedia messages.sendMultiMedia messages.uploadMedia
uploads.UploadMethods,upload_file,upload.saveFilePart upload.saveBigFilePart
users.UserMethods,get_entity,users.getUsers messages.getChats channels.getChannels contacts.resolveUsername
